gropID  primID   auxID  Station name            Lat.(N)    Long.(E)     Xgrid    Ygrid      Elev  NXpos  NYpos   Last moved Date
123456  123456  123456  1234567890123456789  1234567890  1234567890  12345678  12345678  1234567  12345  12345  1234567890123456
------  ------  ------  -------------------  ----------  ----------  --------  --------  -------  -----  -----  ----------------
047200  047003  047003  Senbong                42.31667   130.39999    112.95    231.06      3.0  113.0  231.0  1900.01.01.00:00
047200  047005  047005  Samjiyon               41.81667   128.30000     79.89    218.91   1386.0   80.0  219.0  1900.01.01.00:00
047200  047008  047008  Chongjin               41.78333   129.81667    104.23    219.13     43.0  104.0  219.0  1900.01.01.00:00
047200  047014  047014  Chunggang              41.78333   126.88333     57.18    217.74    332.0   57.0  218.0  1900.01.01.00:00
047200  047016  047016  Hyesan                 41.40000   128.16667     77.99    209.89    714.0   78.0  210.0  1900.01.01.00:00
047200  047020  047020  Kanggye                40.96667   126.60000     52.76    200.12    306.0   53.0  200.0  1900.01.01.00:00
047200  047022  047022  Pungsan                40.81667   128.14999     78.06    197.32   1206.0   78.0  197.0  1900.01.01.00:00
047200  047025  047025  Kimchaek               40.66667   129.20000     95.31    194.66     23.0   95.0  195.0  1900.01.01.00:00
047200  047028  047028  Supung                 40.45000   124.93333     25.50    189.06     83.0   26.0  189.0  1900.01.01.00:00
047200  047031  047031  Changjin               40.36667   127.25000     63.54    187.31   1081.0   64.0  187.0  1900.01.01.00:00
047200  047035  047035  Sinuiju                40.10000   124.38333     16.32    181.66      7.0   16.0  182.0  1900.01.01.00:00
047200  047037  047037  Kusong                 39.98333   125.25000     30.60    178.93     99.0   31.0  179.0  1900.01.01.00:00
047200  047039  047039  Huichon                40.16667   126.25000     47.12    182.84    155.0   47.0  183.0  1900.01.01.00:00
047200  047041  047041  Hamheung               39.93333   127.55000     68.65    178.05     38.0   69.0  178.0  1900.01.01.00:00
047200  047046  047046  Sinpo                  40.03333   128.18333     79.07    180.45     19.0   79.0  180.0  1900.01.01.00:00
047200  047050  047050  Anju                   39.61667   125.65000     37.18    170.97     27.0   37.0  171.0  1900.01.01.00:00
047200  047052  047052  Yangdok                39.21667   126.65000     53.88    162.37    279.0   54.0  162.0  1900.01.01.00:00
047200  047055  047055  Wonsan                 39.18333   127.43333     67.01    161.82     36.0   67.0  162.0  1900.01.01.00:00
047200  047058  047058  Pyongyang              39.03333   125.78333     39.36    158.36     38.0   39.0  158.0  1900.01.01.00:00
047200  047060  047060  Nampo                  38.71667   125.38333     32.59    151.55     47.0   33.0  152.0  1900.01.01.00:00
047200  047061  047061  Changjon               38.73333   128.18333     79.83    152.37     35.0   80.0  152.0  1900.01.01.00:00
047200  047065  047065  Sariwon                38.51667   125.76667     39.05    147.19     52.0   39.0  147.0  1900.01.01.00:00
047200  047067  047067  Singye                 38.50000   126.53333     52.03    146.86    100.0   52.0  147.0  1900.01.01.00:00
047200  047068  047068  Ryongyon               38.15000   124.88333     23.98    139.38      5.0   24.0  139.0  1900.01.01.00:00
047200  047069  047069  Haeju                  38.03333   125.70000     37.88    136.73     81.0   38.0  137.0  1900.01.01.00:00
